# energy dos(up) dos(down)
4.587392565000000388e+01 5.818999999999999728e-01 -5.818999999999999728e-01
4.627162565000000427e+01 8.225000000000000089e-01 -8.225000000000000089e-01
4.666932565000000466e+01 6.170999999999999819e-01 -6.170999999999999819e-01
4.706702565000000504e+01 6.948999999999999622e-01 -6.948999999999999622e-01
4.746472565000000543e+01 9.766000000000000236e-01 -9.766000000000000236e-01
4.786242565000000582e+01 6.493999999999999773e-01 -6.493999999999999773e-01
4.826012565000000620e+01 7.268000000000000016e-01 -7.268000000000000016e-01
4.865782565000000659e+01 9.130000000000000338e-01 -9.130000000000000338e-01
4.905552564999999277e+01 7.000999999999999446e-01 -7.000999999999999446e-01
4.945322564999999315e+01 9.344000000000000083e-01 -9.344000000000000083e-01
4.985092564999999354e+01 8.682999999999999607e-01 -8.682999999999999607e-01
5.024862564999999393e+01 6.592000000000000082e-01 -6.592000000000000082e-01
5.064632564999999431e+01 3.269000000000000239e-01 -3.269000000000000239e-01
5.104402564999999470e+01 5.158000000000000362e-01 -5.158000000000000362e-01
5.144172564999999508e+01 4.036000000000000143e-01 -4.036000000000000143e-01
5.183942564999999547e+01 7.360999999999999766e-01 -7.360999999999999766e-01
5.223712564999999586e+01 5.531000000000000361e-01 -5.531000000000000361e-01
5.263482564999999624e+01 2.767999999999999905e-01 -2.767999999999999905e-01
5.303252564999999663e+01 4.818000000000000060e-01 -4.818000000000000060e-01
5.343022564999999702e+01 5.030000000000000027e-01 -5.030000000000000027e-01
5.382792564999999740e+01 4.268000000000000127e-01 -4.268000000000000127e-01
5.422562564999999779e+01 4.580000000000000182e-01 -4.580000000000000182e-01
5.462332564999999818e+01 4.934999999999999942e-01 -4.934999999999999942e-01
5.502102564999999856e+01 5.548999999999999488e-01 -5.548999999999999488e-01
5.541872564999999895e+01 6.481000000000000094e-01 -6.481000000000000094e-01
5.581642564999999934e+01 5.554999999999999938e-01 -5.554999999999999938e-01
5.621412564999999972e+01 8.336000000000000076e-01 -8.336000000000000076e-01
5.661182565000000011e+01 8.196999999999999842e-01 -8.196999999999999842e-01
5.700952565000000050e+01 6.695999999999999730e-01 -6.695999999999999730e-01
5.740722565000000088e+01 8.335000000000000187e-01 -8.335000000000000187e-01
5.780492565000000127e+01 3.921000000000000041e-01 -3.921000000000000041e-01
5.820262565000000166e+01 5.483000000000000096e-01 -5.483000000000000096e-01
5.860032565000000204e+01 2.886000000000000232e-01 -2.886000000000000232e-01
5.899802565000000243e+01 2.891000000000000236e-01 -2.891000000000000236e-01
5.939572565000000282e+01 3.774000000000000132e-01 -3.774000000000000132e-01
5.979342565000000320e+01 1.996999999999999886e-01 -1.996999999999999886e-01
6.019112564999998938e+01 4.757000000000000117e-01 -4.757000000000000117e-01
6.058882564999998976e+01 2.432999999999999885e-01 -2.432999999999999885e-01
6.098652564999999015e+01 2.146000000000000130e-01 -2.146000000000000130e-01
6.138422564999999054e+01 2.184000000000000108e-01 -2.184000000000000108e-01
6.178192564999999092e+01 1.719999999999999862e-01 -1.719999999999999862e-01
6.217962564999999131e+01 9.389999999999999736e-02 -9.389999999999999736e-02
6.257732564999999170e+01 1.665000000000000091e-01 -1.665000000000000091e-01
6.297502564999999208e+01 1.220000000000000077e-02 -1.220000000000000077e-02
6.337272564999999247e+01 3.490000000000000047e-02 -3.490000000000000047e-02
6.377042564999999286e+01 8.699999999999999400e-03 -8.699999999999999400e-03
6.416812564999999324e+01 3.490000000000000047e-02 -3.490000000000000047e-02
6.456582564999999363e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.496352564999999402e+01 8.699999999999999400e-03 -8.699999999999999400e-03
6.536122564999999440e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.575892564999999479e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.615662564999999518e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.655432564999999556e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.695202564999999595e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.734972564999999634e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.774742564999999672e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.814512564999999711e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.854282564999999749e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.894052564999999788e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.933822564999999827e+01 0.000000000000000000e+00 -0.000000000000000000e+00
6.973592564999999865e+01 0.000000000000000000e+00 -0.000000000000000000e+00
7.013372565000000236e+01 0.000000000000000000e+00 -0.000000000000000000e+00
