#k-distance eigenvalue[eV]
2.77750184 -14.82187310
2.81285289 -15.04057310
2.84820389 -15.25447310
2.88355493 -15.46337310
2.91890593 -15.66707310
2.95425697 -15.86537310
2.98960797 -16.05807310
3.02495902 -16.24507310
3.06031001 -16.42617310
3.09566101 -16.60137310
3.13101205 -16.77047310
3.16636305 -16.93337310
3.20171409 -17.09017310
3.23706509 -17.24057310
3.27241614 -17.38477310
3.30776713 -17.52237310
3.34311818 -17.65367310
3.37846917 -17.77837310
3.41382017 -17.89657310
3.44917122 -18.00817310
3.48452221 -18.11317310
3.51987326 -18.21157310
3.55522425 -18.30317310
3.59057530 -18.38817310
3.62592629 -18.46647310
3.66127734 -18.53797310
3.69662834 -18.60267310
3.73197933 -18.66067310
3.76733038 -18.71187310
3.80268137 -18.75627310
3.83803242 -18.79377310
3.87338342 -18.82457310
3.90873446 -18.84847310
3.94408546 -18.86557310
3.97943650 -18.87577310
4.01478750 -18.87927310

0.00000000 -18.85437310
0.03061489 -18.85177310
0.06122975 -18.84407310
0.09184464 -18.83127310
0.12245953 -18.81337310
0.15307439 -18.79037310
0.18368928 -18.76227310
0.21430417 -18.72907310
0.24491903 -18.69077310
0.27553392 -18.64727310
0.30614881 -18.59887310
0.33676367 -18.54527310
0.36737856 -18.48667310
0.39799345 -18.42297310
0.42860831 -18.35427310
0.45922320 -18.28047310
0.48983808 -18.20177310
0.52045294 -18.11797310
0.55106783 -18.02917310
0.58168272 -17.93547310
0.61229758 -17.83677310
0.64291247 -17.73317310
0.67352736 -17.62467310
0.70414222 -17.51117310
0.73475711 -17.39297310
0.76537200 -17.26987310
0.79598686 -17.14197310
0.82660175 -17.00937310
0.85721664 -16.87207310
0.88783150 -16.73007310
0.91844639 -16.58357310
0.94906128 -16.43237310
0.97967614 -16.27677310
1.01029103 -16.11667310
1.04090592 -15.95237310
1.07152078 -15.78377310
1.10213567 -15.61127310
1.13275056 -15.43477310
1.16336542 -15.25467310
1.19398031 -15.07127310
1.22459520 -14.88497310
1.25521006 -14.69657310
1.28582495 -14.50687310
1.31643984 -14.31767310
1.34705470 -14.13177310
1.37766959 -13.95477310
1.40828447 -13.79717310
1.43889933 -13.68017310
1.46951422 -13.63517310
1.46951422 -13.63517310
1.48718972 -13.63437310
1.50486525 -13.63217310
1.52254074 -13.62847310
1.54021627 -13.62337310
1.55789176 -13.61677310
1.57556729 -13.60877310
1.59324278 -13.59927310
1.61091831 -13.58827310
1.62859381 -13.57577310
1.64626930 -13.56187310
1.66394483 -13.54647310
1.68162032 -13.52967310
1.69929585 -13.51137310
1.71697135 -13.49157310
1.73464687 -13.47037310
1.75232237 -13.44767310
1.76999789 -13.42347310
1.78767339 -13.39787310
1.80534888 -13.37077310
1.82302441 -13.34227310
1.84069991 -13.31227310
1.85837543 -13.28087310
1.87605093 -13.24797310
1.89372645 -13.21357310
1.91140195 -13.17777310
1.92907747 -13.14047310
1.94675297 -13.10177310
1.96442847 -13.06167310
1.98210399 -13.01997310
1.99977949 -12.97697310
2.01745501 -12.93247310
2.03513051 -12.88647310
2.05280603 -12.83907310
2.07048153 -12.79017310
2.08815705 -12.73987310
2.10583255 -12.68817310
2.12350805 -12.63497310
2.14118357 -12.58027310
2.15885907 -12.52427310
2.17653459 -12.46677310
2.19421009 -12.40777310
2.21188561 -12.34747310
2.22956111 -12.28567310
2.24723663 -12.22247310
2.26491213 -12.15787310
2.28258763 -12.09187310
2.30026315 -12.02437310
